nome_arquivo,temperatura,motor_position,feed_rate,flow_rate
imagens_stream/image_2024-03-08_19-34-29-389.jpg,T:199.84 /200.00 B:49.98 /50.00 @:57 B@:17,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-29-923.jpg,T:199.84 /200.00 B:49.98 /50.00 @:57 B@:17,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-30-465.jpg,T:199.79 /200.00 B:49.99 /50.00 @:57 B@:15,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-30-965.jpg,T:199.79 /200.00 B:49.99 /50.00 @:57 B@:15,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-31-505.jpg,T:199.80 /200.00 B:49.99 /50.00 @:57 B@:15,,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-32-092.jpg,T:199.84 /200.00 B:49.98 /50.00 @:57 B@:17,X:-18.00 Y:-2.00 Z:0.00 E:0.00 Count X:-1440 Y:-160 Z:0,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-32-630.jpg,T:199.84 /200.00 B:49.98 /50.00 @:57 B@:17,X:-18.00 Y:-2.00 Z:0.00 E:0.00 Count X:-1440 Y:-160 Z:0,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-33-132.jpg,T:199.84 /200.00 B:49.99 /50.00 @:57 B@:16,X:-18.00 Y:-2.00 Z:0.00 E:0.00 Count X:-1440 Y:-160 Z:0,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-33-671.jpg,T:199.84 /200.00 B:49.99 /50.00 @:57 B@:16,X:-18.00 Y:-2.00 Z:0.00 E:0.00 Count X:-1440 Y:-160 Z:0,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-34-172.jpg,T:199.89 /200.00 B:49.98 /50.00 @:56 B@:17,X:-18.00 Y:-2.00 Z:0.00 E:0.00 Count X:-1440 Y:-160 Z:0,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-34-712.jpg,T:199.89 /200.00 B:49.98 /50.00 @:56 B@:17,X:-18.00 Y:-2.00 Z:0.00 E:0.00 Count X:-1440 Y:-160 Z:0,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-35-215.jpg,T:199.89 /200.00 B:49.98 /50.00 @:56 B@:17,X:-18.00 Y:-2.00 Z:0.00 E:0.00 Count X:-1440 Y:-160 Z:0,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-35-755.jpg,T:199.89 /200.00 B:49.98 /50.00 @:56 B@:17,X:-18.00 Y:-2.00 Z:0.00 E:0.00 Count X:-1440 Y:-160 Z:0,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-36-256.jpg,T:199.89 /200.00 B:50.00 /50.00 @:56 B@:15,X:10.40 Y:20.00 Z:2.00 E:0.00 Count X:832 Y:6794 Z:112,echo:E0 Flow: 100%,FR:100%
imagens_stream/image_2024-03-08_19-34-36-797.jpg,T:199.89 /200.00 B:50.00 /50.00 @:56 B@:15,X:10.40 Y:20.00 Z:2.00 E:0.00 Count X:832 Y:6794 Z:112,echo:E0 Flow: 100%,FR:100%
